season	age	league	Tm	G	W	L	season_WinP	career_WinP	fuzzy_name	tenure	rookie	prev_season	W_prev	season_WinP_prev	winP_change	race	compound_mean_mean	compound_mean_std	user_count
2016	49.0	NBA	BRK	82	20.0	62.0	0.244	0.295	kenny atkinson	1.0	True	2015	21.0	0.25609756097560976	-0.012097560975609767	W	0.10064471842903826	0.47473857932924707	272
2017	50.0	NBA	BRK	82	28.0	54.0	0.341	0.295	kenny atkinson	2.0	False	2016	20.0	0.24390243902439024	0.09709756097560979	W	0.1677042553678851	0.42576825405683316	295
2015	36.0	NBA	HOU	71	37.0	34.0	0.521	0.404	jb bickerstaff	1.0	True	2014	56.0	0.6829268292682927	-0.16192682926829272	B	0.10443051303854872	0.4962405773844227	147
2017	38.0	NBA	MEM	63	15.0	48.0	0.238	0.404	jb bickerstaff	1.0	True	2016	43.0	0.524390243902439	-0.28639024390243906	B	0.13129231481481482	0.44894489754577155	180
2014	55.0	NBA	CLE	82	53.0	29.0	0.6459999999999999	0.675	david blatt	1.0	True	2013			0.0	W	0.10313680523405333	0.4281960844585348	432
2015	56.0	NBA	CLE	41	30.0	11.0	0.732	0.675	david blatt	2.0	False	2014	53.0	0.6463414634146342	0.08565853658536582	W	0.054041423981149354	0.4323918784482793	688
2014		NBA	ORL	30	10.0	20.0	0.333	0.359	james borrego	1.0	True	2013	23.0	0.2804878048780488	0.05251219512195121	W	0.2972633333333333	0.4061709758647467	15
2014	49.0	NBA	OKC	82	45.0	37.0	0.5489999999999999	0.601	scott brooks	7.0	False	2013	59.0	0.7195121951219512	-0.17051219512195126	W	0.09676679126572908	0.4489268642251332	193
2016	51.0	NBA	WAS	82	49.0	33.0	0.598	0.601	scott brooks	1.0	True	2015	41.0	0.5	0.09799999999999998	W	0.13421773109243695	0.4760916898398074	85
2017	52.0	NBA	WAS	82	43.0	39.0	0.524	0.601	scott brooks	2.0	False	2016	49.0	0.5975609756097561	-0.07356097560975605	W	0.12255557813255932	0.47691609191217915	106
2015	55.0	NBA	BRK	45	11.0	34.0	0.244	0.244	tony brown	1.0	True	2014	38.0	0.4634146341463415	-0.2194146341463415	B	-0.6808		1
2014	45.0	NBA	ATL	82	60.0	22.0	0.732	0.526	mike budenholzer	2.0	False	2013	38.0	0.4634146341463415	0.2685853658536585	W	0.1902831790123457	0.4723463136426156	54
2015	46.0	NBA	ATL	82	48.0	34.0	0.585	0.526	mike budenholzer	3.0	False	2014	60.0	0.7317073170731707	-0.14670731707317075	W	0.2709105263157895	0.36762427247989793	19
2016	47.0	NBA	ATL	82	43.0	39.0	0.524	0.526	mike budenholzer	4.0	False	2015	48.0	0.5853658536585366	-0.06136585365853653	W	0.01102352941176472	0.48818010576196647	17
2017	48.0	NBA	ATL	82	24.0	58.0	0.293	0.526	mike budenholzer	5.0	False	2016	43.0	0.524390243902439	-0.23139024390243906	W	0.18263571428571426	0.3951420186411885	49
2014	55.0	NBA	DAL	82	50.0	32.0	0.61	0.552	rick carlisle	7.0	False	2013	49.0	0.5975609756097561	0.012439024390243913	W	0.17763513323018712	0.43181236707366155	277
2015	56.0	NBA	DAL	82	42.0	40.0	0.512	0.552	rick carlisle	8.0	False	2014	50.0	0.6097560975609756	-0.09775609756097559	W	0.20436018330861738	0.4189740852926127	289
2016	57.0	NBA	DAL	82	33.0	49.0	0.402	0.552	rick carlisle	9.0	False	2015	42.0	0.5121951219512195	-0.1101951219512195	W	0.19615280808080815	0.4368074486995276	165
2017	58.0	NBA	DAL	82	24.0	58.0	0.293	0.552	rick carlisle	10.0	False	2016	33.0	0.4024390243902439	-0.10943902439024394	W	0.18025719135802465	0.4552867407467467	243
2014	57.0	NBA	TOR	82	49.0	33.0	0.598	0.5489999999999999	dwane casey	4.0	False	2013	48.0	0.5853658536585366	0.012634146341463426	B	-0.013525854725196828	0.4266113269349428	285
2015	58.0	NBA	TOR	82	56.0	26.0	0.6829999999999999	0.5489999999999999	dwane casey	5.0	False	2014	49.0	0.5975609756097561	0.08543902439024387	B	0.021573460040473932	0.39961117964312576	432
2016	59.0	NBA	TOR	82	51.0	31.0	0.622	0.5489999999999999	dwane casey	6.0	False	2015	56.0	0.6829268292682927	-0.06092682926829274	B	-0.01183878910213417	0.4095065276092763	497
2017	60.0	NBA	TOR	82	59.0	23.0	0.72	0.5489999999999999	dwane casey	7.0	False	2016	51.0	0.6219512195121951	0.09804878048780485	B	0.12851172718728632	0.4164004557620711	836
2014	53.0	NBA	CHO	82	33.0	49.0	0.402	0.474	steve clifford	1.0	True	2013			0.0	W	0.057030977721465516	0.41634156536913336	41
2015	54.0	NBA	CHO	82	48.0	34.0	0.585	0.474	steve clifford	2.0	False	2014	33.0	0.4024390243902439	0.18256097560975604	W	0.1701858369883041	0.4569488819679054	76
2016	55.0	NBA	CHO	82	36.0	46.0	0.439	0.474	steve clifford	3.0	False	2015	48.0	0.5853658536585366	-0.14636585365853655	W	0.14769299182299184	0.46082460652851454	45
