fuzzy_name	season	compound_mean_mean	compound_mean_std	user_count	Player	From	To	Pos_x	Ht	Wt	Birth Date	Colleges	Race	Rk	Pos_y	Age	G	MP	PER	TS%	3PAr	FTr	ORB%	DRB%	TRBP	ASTP	STLP	BLKP	TOV%	USG%	OWS	DWS	WS	WS/48	OBPM	DBPM	BPM	VORP	Tm	FG	FGA	FG%	3P	3PA	ThreePP	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PPG	year	Wins	total_population	metro_percent_white	metro_percent_black	clinton_vote_lead	experience	youth	oldness	white_black_diff	height_dummies
aaron brooks	2017	0.09050907407407406	0.44334202390612715	54	aaron brooks	2008	2018	G	72	161	14-Jan-85	University of Oregon	B	65	PG	33	32	189	9.8	0.508	0.449	0.159	4.2	6.2	5.2	15.1	1.6	0.0	13.0	19.9	0.1	0.1	0.1	0.033	-0.8	-3.6	-4.3	-0.1	MIN	0.9	2.2	0.406	0.3	1.0	0.355	0.5	1.2	0.447	0.486	0.3	0.3	0.727	0.2	0.3	0.5	0.6	0.2	0.0	0.3	0.9	2.3	2018	47	3488436	80.3	7.8	0.3531	10	0.0	6.618534482758619	72.5	short
aaron gordon	2015	0.14098984725109728	0.42625592701280257	111	aaron gordon	2015	2018	F	81	220	16-Sep-95	University of Arizona	M	159	PF	20	78	1863	17.0	0.541	0.245	0.33299999999999996	9.0	21.3	15.1	10.3	1.6	2.4	9.0	17.3	3.2	2.2	5.4	0.139	0.6	1.2	1.8	1.8	ORL	3.5	7.4	0.473	0.5	1.8	0.29600000000000004	3.0	5.6	0.531	0.509	1.7	2.5	0.6679999999999999	2.0	4.5	6.5	1.6	0.8	0.7	0.8	2.0	9.2	2016	35	2328508	71.2	16.3	0.2464	1	6.381465517241381	0.0	54.900000000000006	tall
aaron gordon	2016	0.1319450615373935	0.42867070931519785	122	aaron gordon	2015	2018	F	81	220	16-Sep-95	University of Arizona	M	157	SF	21	80	2298	14.5	0.53	0.309	0.251	5.3	14.1	9.6	10.5	1.4	1.4	8.5	20.1	2.0	1.7	3.7	0.077	-0.2	-0.4	-0.7	0.8	ORL	4.9	10.8	0.45399999999999996	1.0	3.3	0.28800000000000003	4.0	7.5	0.528	0.499	2.0	2.7	0.7190000000000001	1.5	3.6	5.1	1.9	0.8	0.5	1.1	2.2	12.7	2017	29	2328508	71.2	16.3	0.2464	2	5.381465517241381	0.0	54.900000000000006	tall
aaron gordon	2017	0.19161597971415392	0.43228233633777713	241	aaron gordon	2015	2018	F	81	220	16-Sep-95	University of Arizona	M	179	PF	22	58	1909	16.5	0.53	0.395	0.26	5.0	21.5	13.2	11.7	1.5	1.9	10.0	24.7	0.9	2.0	2.9	0.07200000000000001	0.0	0.0	0.0	1.0	ORL	6.5	14.9	0.434	2.0	5.9	0.336	4.5	9.0	0.49700000000000005	0.5	2.7	3.9	0.698	1.5	6.4	7.9	2.3	1.0	0.8	1.8	1.9	17.6	2018	25	2328508	71.2	16.3	0.2464	3	4.381465517241381	0.0	54.900000000000006	tall
al horford	2015	0.10610649363669594	0.4152223202525955	855	al horford	2008	2018	C-F	82	245	3-Jun-86	University of Florida	B	207	C	29	82	2631	19.4	0.565	0.244	0.12300000000000001	6.3	18.2	12.4	16.7	1.3	3.6	8.8	20.6	4.9	4.5	9.4	0.172	1.5	2.6	4.1	4.1	ATL	6.5	12.8	0.505	1.1	3.1	0.344	5.4	9.7	0.557	0.547	1.3	1.6	0.7979999999999999	1.8	5.5	7.3	3.2	0.8	1.5	1.3	2.0	15.2	2016	48	5612777	55.1	33.5	0.4212	8	0.0	2.618534482758619	21.6	tall
al horford	2016	0.10610649363669594	0.4152223202525955	855	al horford	2008	2018	C-F	82	245	3-Jun-86	University of Florida	B	203	C	30	68	2193	17.7	0.5529999999999999	0.302	0.16899999999999998	4.9	18.6	11.8	24.4	1.2	3.2	11.8	19.7	3.6	2.7	6.3	0.138	1.0	2.0	3.1	2.8	BOS	5.6	11.8	0.473	1.3	3.6	0.355	4.3	8.2	0.524	0.527	1.6	2.0	0.8	1.4	5.4	6.8	5.0	0.8	1.3	1.7	2.0	14.0	2017	53	4728844	77.3	8.0	0.3815	9	0.0	3.618534482758619	69.3	tall
al horford	2017	0.17253767964015576	0.40158556109576765	1634	al horford	2008	2018	C-F	82	245	3-Jun-86	University of Florida	B	227	C	31	72	2277	17.6	0.575	0.3	0.159	5.0	20.2	12.7	23.6	0.9	2.9	14.1	18.4	4.0	3.8	7.8	0.165	1.1	2.9	4.0	3.5	BOS	5.1	10.5	0.489	1.3	3.1	0.429	3.8	7.3	0.514	0.5529999999999999	1.3	1.7	0.7829999999999999	1.4	5.9	7.4	4.7	0.6	1.1	1.8	1.9	12.9	2018	55	4728844	77.3	8.0	0.3815	10	0.0	4.618534482758619	69.3	tall
al jefferson	2015	0.07075308004285279	0.45649153115769486	198	al jefferson	2005	2018	C-F	82	289	4-Jan-85		B	222	C	31	47	1096	18.2	0.507	0.0	0.22	5.6	24.6	15.0	11.8	1.4	3.0	5.8	24.2	1.0	1.8	2.8	0.12300000000000001	-2.3	1.2	-1.1	0.2	CHO	5.2	10.7	0.485	0.0	0.0	0.3191177829099309	5.2	10.7	0.485	0.485	1.5	2.4	0.649	1.2	5.2	6.4	1.5	0.6	0.9	0.7	2.5	12.0	2016	48	2381152	68.4	22.2	0.2987	11	0.0	4.618534482758619	46.2	tall
al jefferson	2016	0.06914042182387257	0.45064469314797584	213	al jefferson	2005	2018	C-F	82	289	4-Jan-85		B	221	C	32	66	931	18.9	0.526	0.002	0.18	9.2	24.2	16.8	11.0	1.0	1.5	6.1	26.1	1.2	1.1	2.3	0.11900000000000001	-1.5	-1.5	-3.1	-0.2	IND	3.6	7.1	0.499	0.0	0.0	0.0	3.6	7.1	0.5	0.499	1.0	1.3	0.765	1.1	3.1	4.2	0.9	0.3	0.2	0.5	1.9	8.1	2017	42	1968768	77.4	14.9	0.2283	12	0.0	5.618534482758619	62.50000000000001	tall
al jefferson	2017	0.13806468855218856	0.47325811748292396	198	al jefferson	2005	2018	C-F	82	289	4-Jan-85		B	250	C	33	36	484	20.2	0.563	0.013999999999999999	0.17300000000000001	7.0	26.2	16.7	10.0	1.7	4.2	8.6	22.5	0.8	0.8	1.6	0.158	-1.7	1.3	-0.5	0.2	IND	3.1	5.8	0.534	0.0	0.1	0.0	3.1	5.7	0.541	0.534	0.8	1.0	0.833	0.8	3.1	4.0	0.8	0.4	0.6	0.6	1.8	7.0	2018	48	1968768	77.4	14.9	0.2283	13	0.0	6.618534482758619	62.50000000000001	tall
al-farouq aminu	2015	0.060195482176081665	0.4161944490935434	168	al-farouq aminu	2011	2018	F	81	220	21-Sep-90	Wake Forest University	B	11	SF	25	82	2341	12.7	0.5329999999999999	0.485	0.217	4.5	18.6	11.5	8.8	1.5	1.8	13.2	16.9	1.7	2.3	4.0	0.08199999999999999	-0.4	0.7	0.2	1.3	POR	3.6	8.8	0.41600000000000004	1.5	4.3	0.361	2.1	4.5	0.46799999999999997	0.503	1.4	1.9	0.737	1.2	4.9	6.1	1.7	0.9	0.6	1.5	2.1	10.2	2016	44	2351319	81.9	2.8	0.5833	5	1.3814655172413808	0.0	79.10000000000001	tall
al-farouq aminu	2016	0.06034523416020863	0.416140757030382	168	al-farouq aminu	2011	2018	F	81	220	21-Sep-90	Wake Forest University	B	10	PF	26	61	1773	11.3	0.506	0.455	0.292	4.8	23.5	14.1	7.9	1.7	2.0	15.2	15.4	-0.1	2.0	1.9	0.051	-2.3	1.2	-1.1	0.4	POR	3.0	7.6	0.39299999999999996	1.1	3.5	0.33	1.9	4.2	0.445	0.46799999999999997	1.6	2.2	0.706	1.3	6.1	7.4	1.6	1.0	0.7	1.5	1.7	8.7	2017	41	2351319	81.9	2.8	0.5833	6	0.3814655172413808	0.0	79.10000000000001	tall
al-farouq aminu	2017	0.15887337149264774	0.3951143857378703	222	al-farouq aminu	2011	2018	F	81	220	21-Sep-90	Wake Forest University	B	11	PF	27	69	2072	12.0	0.522	0.5820000000000001	0.13699999999999998	5.2	22.3	13.8	5.8	1.9	1.6	11.3	14.8	0.9	3.2	4.2	0.09699999999999999	-0.8	1.9	1.1	1.6	POR	3.3	8.4	0.395	1.8	4.9	0.369	1.5	3.5	0.43200000000000005	0.503	0.9	1.2	0.738	1.4	6.2	7.6	1.2	1.1	0.6	1.1	2.0	9.3	2018	49	2351319	81.9	2.8	0.5833	7	0.0	0.6185344827586192	79.10000000000001	tall
alec burks	2015	0.14510482519195483	0.34263781491866707	81	alec burks	2012	2018	G	78	214	20-Jul-91	University of Colorado	B	70	SG	24	31	797	14.3	0.52	0.237	0.42200000000000004	2.4	13.6	8.0	13.9	1.2	0.4	11.4	25.9	0.7	0.8	1.5	0.09	-0.9	-1.6	-2.5	-0.1	UTA	4.4	10.8	0.41	1.0	2.5	0.405	3.4	8.2	0.41200000000000003	0.45799999999999996	3.4	4.5	0.752	0.5	3.0	3.5	2.0	0.6	0.1	1.6	2.3	13.3	2016	40	1154504	81.7	1.6	0.1022	4	2.381465517241381	0.0	80.10000000000001	medium
alec burks	2016	0.14510482519195483	0.34263781491866707	81	alec burks	2012	2018	G	78	214	20-Jul-91	University of Colorado	B	65	SG	25	42	653	11.6	0.501	0.306	0.315	3.1	17.7	10.6	7.5	1.4	0.6	11.0	22.7	-0.1	0.9	0.8	0.055999999999999994	-3.3	-0.9	-4.2	-0.4	UTA	2.4	5.9	0.39899999999999997	0.6	1.8	0.32899999999999996	1.8	4.1	0.43	0.45	1.4	1.9	0.769	0.4	2.5	2.9	0.7	0.4	0.1	0.8	1.2	6.7	2017	51	1154504	81.7	1.6	0.1022	5	1.3814655172413808	0.0	80.10000000000001	medium
