Player	season	compound_mean_mean	compound_mean_std	user_count	Race	From	To	Pos_x	Ht	Wt	Birth Date	Colleges	Rk	Pos_y	Age	G	MP	PER	TS%	3PAr	FTr	ORB%	DRB%	TRBP	ASTP	STLP	BLKP	TOVP	USG%	OWS	DWS	WS	WS/48	OBPM	DBPM	BPM	VORP	Tm	FG	FGA	FG%	3P	3PA	ThreePP	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PPG	year	Wins	total_population	metro_percent_white	metro_percent_black	clinton_vote_lead	salary	standard_salary	experience	youth	oldness	rookie	white_black_diff	height_dummies
aaron brooks	2013	0.04579054054054055	0.4461177123930531	37	B	2008.0	2018.0	G	72.0	161.0	January 14, 1985	University of Oregon	65.0	PG	29.0	72.0	1557.0	12.5	0.518	0.4270000000000001	0.16399999999999998	3.1	6.7	4.9	23.3	1.6	0.6	15.8	20.5	1.3	0.9	2.2	0.067	0.4	-1.9	-1.5	0.2	HOU	3.2	8.1	0.401	1.3	3.4	0.387	1.9	4.6	0.411	0.484	1.2	1.3	0.8740000000000001	0.6	1.3	1.9	3.2	0.7	0.2	1.6	2.0	9.0	2014.0	54.0	6482592.0	65.7	17.2	0.124	1027424.0	31.83738773685792	6.0	0.0	2.266602962255135	False	48.5	short
aaron brooks	2014	0.02097283950617285	0.4968827376787067	81	B	2008.0	2018.0	G	72.0	161.0	January 14, 1985	University of Oregon	63.0	PG	30.0	82.0	1885.0	14.4	0.534	0.383	0.213	1.9	7.5	4.8	24.2	1.5	0.6	14.9	25.0	1.7	1.5	3.3	0.083	1.0	-2.4	-1.4	0.3	CHI	4.2	10.0	0.421	1.5	3.8	0.387	2.7	6.1	0.442	0.495	1.8	2.1	0.833	0.4	1.6	2.0	3.2	0.7	0.2	1.9	2.3	11.6	2015.0	50.0	9528396.0	66.3	16.9	0.5296	915243.0	30.930297980914375	7.0	0.0	3.266602962255135	False	49.4	short
aaron brooks	2015	0.018366666666666667	0.4557957242896228	39	B	2008.0	2018.0	G	72.0	161.0	January 14, 1985	University of Oregon	62.0	PG	31.0	69.0	1108.0	11.8	0.494	0.394	0.136	2.0	7.5	4.8	26.0	1.4	0.7	14.2	22.9	0.2	0.7	0.9	0.04	-0.5	-2.8	-3.3	-0.4	CHI	2.7	6.8	0.401	1.0	2.7	0.35700000000000004	1.8	4.1	0.43	0.471	0.7	0.9	0.7659999999999999	0.3	1.2	1.5	2.6	0.4	0.1	1.2	1.9	7.1	2016.0	42.0	9528396.0	66.3	16.9	0.5296	2250000.0	38.72983346207417	8.0	0.0	4.266602962255135	False	49.4	short
aaron brooks	2016	0.2543264705882353	0.4065265805107517	17	B	2008.0	2018.0	G	72.0	161.0	January 14, 1985	University of Oregon	58.0	PG	32.0	65.0	894.0	9.5	0.507	0.4270000000000001	0.133	2.3	6.3	4.3	20.7	1.4	0.9	17.2	19.2	-0.2	0.5	0.3	0.016	-2.1	-2.5	-4.6	-0.6	IND	1.9	4.6	0.403	0.7	2.0	0.375	1.1	2.6	0.424	0.483	0.5	0.6	0.8	0.3	0.8	1.1	1.9	0.4	0.1	1.0	1.4	5.0	2017.0	42.0	1968768.0	77.4	14.9	0.2283	2700000.0	40.53600464421103	9.0	0.0	5.266602962255135	False	62.50000000000001	short
aaron brooks	2017	0.0671419540229885	0.4530362093656998	29	B	2008.0	2018.0	G	72.0	161.0	January 14, 1985	University of Oregon	65.0	PG	33.0	32.0	189.0	9.8	0.508	0.449	0.159	4.2	6.2	5.2	15.1	1.6	0.0	13.0	19.9	0.1	0.1	0.1	0.033	-0.8	-3.6	-4.3	-0.1	MIN	0.9	2.2	0.406	0.3	1.0	0.355	0.5	1.2	0.447	0.486	0.3	0.3	0.727	0.2	0.3	0.5	0.6	0.2	0.0	0.3	0.9	2.3	2018.0	47.0	3488436.0	80.3	7.8	0.3531	2116955.0	38.14414692739022	10.0	0.0	6.266602962255135	False	72.5	short
aaron gordon	2014	0.09725570175438597	0.39032548982503296	38	M	2015.0	2018.0	F	81.0	220.0	September 16, 1995	University of Arizona	176.0	PF	19.0	47.0	797.0	11.4	0.517	0.231	0.293	6.4	17.8	12.0	6.3	1.3	2.2	13.9	15.5	0.3	0.7	1.0	0.06	-2.8	0.0	-2.8	-0.2	ORL	2.0	4.4	0.447	0.3	1.0	0.271	1.7	3.4	0.5	0.478	0.9	1.3	0.721	1.0	2.6	3.6	0.7	0.4	0.5	0.8	1.8	5.2	2015.0	25.0	2328508.0	71.2	16.3	0.2464	3992040.0	44.699094051095685	0.0	7.733397037744865	0.0	True	54.900000000000006	tall
aaron gordon	2015	0.20684474585339765	0.3850226974097197	89	M	2015.0	2018.0	F	81.0	220.0	September 16, 1995	University of Arizona	159.0	PF	20.0	78.0	1863.0	17.0	0.541	0.245	0.333	9.0	21.3	15.1	10.3	1.6	2.4	9.0	17.3	3.2	2.2	5.4	0.139	0.6	1.2	1.8	1.8	ORL	3.5	7.4	0.473	0.5	1.8	0.29600000000000004	3.0	5.6	0.531	0.509	1.7	2.5	0.6679999999999999	2.0	4.5	6.5	1.6	0.8	0.7	0.8	2.0	9.2	2016.0	35.0	2328508.0	71.2	16.3	0.2464	4171680.0	45.19368422704018	1.0	6.733397037744865	0.0	True	54.900000000000006	tall
aaron gordon	2016	0.13321663398692812	0.4477712634643802	102	M	2015.0	2018.0	F	81.0	220.0	September 16, 1995	University of Arizona	157.0	SF	21.0	80.0	2298.0	14.5	0.53	0.309	0.251	5.3	14.1	9.6	10.5	1.4	1.4	8.5	20.1	2.0	1.7	3.7	0.077	-0.2	-0.4	-0.7	0.8	ORL	4.9	10.8	0.454	1.0	3.3	0.28800000000000003	4.0	7.5	0.528	0.499	2.0	2.7	0.7190000000000001	1.5	3.6	5.1	1.9	0.8	0.5	1.1	2.2	12.7	2017.0	29.0	2328508.0	71.2	16.3	0.2464	4351320.0	45.67254955920253	2.0	5.733397037744865	0.0	False	54.900000000000006	tall
aaron gordon	2017	0.16367131749622926	0.44521799285483327	170	M	2015.0	2018.0	F	81.0	220.0	September 16, 1995	University of Arizona	179.0	PF	22.0	58.0	1909.0	16.5	0.53	0.395	0.26	5.0	21.5	13.2	11.7	1.5	1.9	10.0	24.7	0.9	2.0	2.9	0.07200000000000001	0.0	0.0	0.0	1.0	ORL	6.5	14.9	0.434	2.0	5.9	0.336	4.5	9.0	0.4970000000000001	0.5	2.7	3.9	0.698	1.5	6.4	7.9	2.3	1.0	0.8	1.8	1.9	17.6	2018.0	25.0	2328508.0	71.2	16.3	0.2464	5504419.0	48.4370707693273	3.0	4.733397037744865	0.0	False	54.900000000000006	tall
aaron gray	2013	-0.006670512820512829	0.44428457649858827	13	W	2008.0	2014.0	C	84.0	270.0	December 7, 1984	University of Pittsburgh	174.0	C	29.0	37.0	355.0	7.8	0.466	0.016	0.328	13.2	22.3	17.7	9.1	1.4	1.8	30.8	12.5	-0.3	0.4	0.1	0.016	-4.3	1.7	-2.6	-0.1	SAC	0.7	1.6	0.443	0.0	0.0	0.0	0.7	1.6	0.45	0.443	0.3	0.5	0.55	1.1	1.9	3.0	0.6	0.3	0.2	0.8	1.7	1.8	2014.0	28.0	2242542.0	66.2	7.1	0.2369	2612500.0	40.20351959125546	6.0	0.0	2.266602962255135	False	59.1	tall
