fuzzy_name	compound_mean_mean	compound_mean_std	user_count	Player_FO	Tm	position	DYAR	DVOA	TD	z_DYAR	z_DVOA	z_TD	year	player_join	Player	url	start_year	end_year	height	weight	birth_date	race	total_population	metro_percent_white	metro_percent_black	experience	youth	oldness	height_dummies
aaron rodgers	0.1392934949357706	0.4484409982399257	736	A.Rodgers	GB	qb	334	7.8	16	-0.14180628287415914	0.3754357430687205	-0.3865883462425496	2017	a rodgers	aaron rodgers	/players/R/RodgAa00.htm	2005.0	2018.0	74.0	225.0	December 2, 1983	W	314555	88.0	1.9	12.0	0.0	6.974789915966387	tall
adam thielen	0.17027056360708545	0.3984028967992726	207	A.Thielen	MIN	wr	261	10.1	4	1.2738351727116752	0.5661464624297854	-0.08097120068762009	2017	a thielen	adam thielen	/players/T/ThieAd00.htm	2014.0	2018.0	74.0	200.0	August 22, 1990	W	3488436	80.3	7.8	3.0	2.0252100840336134	0.0	tall
alex collins	0.20980231481481482	0.4320888656421834	36	A.Collins	BAL	rb	205	15.1	6	1.4986488557591056	1.2628825822910263	0.4033442734281368	2017	a collins	alex collins	/players/C/CollAl00.htm	2016.0	2018.0	70.0	208.0	August 26, 1994	B	2780873	61.3	29.0	1.0	4.025210084033613	0.0	short
alex smith	0.1799356304253468	0.40873720953043646	768	A.Smith	KC	qb	1026	18.3	26	0.9962149799529229	0.9372135752257026	0.8215002357654181	2017	a smith	alex smith	/players/S/SmitAl03.htm	2005.0	2018.0	76.0	213.0	May 7, 1984	W	2070147	78.8	12.5	12.0	0.0	6.974789915966387	tall
allen hurns	0.09853201754385965	0.3735104332270427	38	A.Hurns	JAC	wr	149	20.6	2	0.3212280000751181	1.259340029309916	-0.8139736490176532	2017	a hurns	allen hurns	/players/H/HurnAl01.htm	2014.0	2018.0	75.0	201.0	November 12, 1991	B	1424097	70.4	21.4	3.0	2.0252100840336134	0.0	tall
alshon jeffery	0.19189731884057976	0.43579779106045047	230	A.Jeffery	PHI	wr	108	-1.2	9	-0.02749426847933589	-0.17986185240311695	1.7515349201374628	2017	a jeffery	alshon jeffery	/players/J/JeffAl00.htm	2012.0	2018.0	75.0	218.0	February 14, 1990	B	6047721	67.5	20.9	5.0	0.025210084033613356	0.0	tall
alvin kamara	0.07739126984126984	0.45200700064784677	42	A.Kamara	NOP	rb	255	44.5	8	2.0261050203590605	3.5818874357258967	1.0685085138183976	2017	a kamara	alvin kamara	/players/K/KamaAl00.htm	2017.0	2018.0	70.0	215.0	July 25, 1995	B	1250247	58.2	34.9	0.0	5.025210084033613	0.0	short
amari cooper	0.027602482269503535	0.39041264308907964	47	A.Cooper	OAK	wr	27	-9.1	7	-0.7164333844039888	-0.701407488436739	1.0185324718074298	2017	a cooper	amari cooper	/players/C/CoopAm00.htm	2015.0	2018.0	73.0	211.0	June 18, 1994	B	4577530			2.0	3.0252100840336134	0.0	tall
ameer abdullah	0.04287727272727273	0.40927591773744376	22	A.Abdullah	DET	rb	-9	-10.0	4	-0.7588635287287009	-0.7169480918999687	-0.2618199669621241	2017	a abdullah	ameer abdullah	/players/A/AbduAm00.htm	2015.0	2017.0	69.0	203.0	June 13, 1993	B	4296731	69.9	22.4	2.0	3.0252100840336134	0.0	short
andy dalton	0.15099076628352495	0.4589857717281969	145	A.Dalton	CIN	qb	87	-8.6	25	-0.548007513969953	-0.5020077281098041	0.7006913775646213	2017	a dalton	andy dalton	/players/D/DaltAn00.htm	2011.0	2018.0	74.0	220.0	October 29, 1987	W	2146410	82.3	12.2	6.0	0.0	0.9747899159663866	tall
antonio brown	0.15518781609195406	0.44136474246534696	174	A.Brown	PIT	wr	430	20.1	9	2.7112513528507662	1.2263308118394336	1.7515349201374628	2017	a brown	antonio brown	/players/B/BrowAn04.htm	2010.0	2018.0	70.0	181.0	July 10, 1988	B	2354926	87.1	8.2	7.0	0.0	1.9747899159663866	short
antonio gates	0.3465038461538462	0.2939418969534887	26	A.Gates	LAC	te	13	-3.2	3	-0.27697571994494313	-0.20715197041881367	-0.11680594345120147	2017	a gates	antonio gates	/players/G/GateAn00.htm	2003.0	2018.0	76.0	255.0	June 18, 1980	B	13189366	55.0	6.7	14.0	0.0	8.974789915966387	tall
austin hooper	0.0588685185185185	0.4751413974055408	27	A.Hooper	ATL	te	71	9.4	3	0.5033044510999539	0.4515113457174048	-0.11680594345120147	2017	a hooper	austin hooper	/players/H/HoopAu00.htm	2016.0	2018.0	76.0	254.0	November 4, 1994	W	5612777	55.1	33.5	1.0	4.025210084033613	0.0	tall
ben roethlisberger	0.08515280853517875	0.45833885869134694	170	B.Roethlisberger	PIT	qb	1270	21.8	28	1.3974825928572698	1.1244728526113634	1.0631179521670115	2017	b roethlisberger	ben roethlisberger	/players/R/RoetBe00.htm	2004.0	2018.0	77.0	240.0	March 2, 1982	W	2354926	87.1	8.2	13.0	0.0	7.974789915966387	tall
