year	age	Tm	league	G	W	L	Tie	season_WinP	career_WinP	fuzzy_name	tenure	rookie	prev_year	W_prev	season_WinP_prev	winP_change	race	compound_mean_mean	compound_mean_std	user_count
2015	63.0	New England Patriots	NFL	16	12.0	4.0	0.0	0.75	0.6809999999999999	bill belichick	16.0	False	2014	12.0	0.75	0.0	W	0.12967449755228516	0.41432472336610016	938
2016	64.0	New England Patriots	NFL	16	14.0	2.0	0.0	0.875	0.6809999999999999	bill belichick	17.0	False	2015	12.0	0.75	0.125	W	0.1370649660461319	0.40521225598066185	1307
2017	65.0	New England Patriots	NFL	16	13.0	3.0	0.0	0.813	0.6809999999999999	bill belichick	18.0	False	2016	14.0	0.875	-0.062000000000000055	W	0.10452430954762305	0.4131884745764669	1283
2015	57.0	Kansas City Chiefs	NFL	16	11.0	5.0	0.0	0.688	0.611	andy reid	3.0	False	2014	9.0	0.5625	0.12549999999999994	W	0.06742435312024353	0.46824967907370196	219
2016	58.0	Kansas City Chiefs	NFL	16	12.0	4.0	0.0	0.75	0.611	andy reid	4.0	False	2015	11.0	0.6875	0.0625	W	0.16723484327217125	0.45062818605728844	218
2017	59.0	Kansas City Chiefs	NFL	16	10.0	6.0	0.0	0.625	0.611	andy reid	5.0	False	2016	12.0	0.75	-0.125	W	0.10894491843033503	0.4428312155688513	378
2015	57.0	St. Louis Rams	NFL	16	7.0	9.0	0.0	0.438	0.512	jeff fisher	4.0	False	2014	6.0	0.375	0.063	W	0.04580952635599696	0.45386325213533096	187
2016	58.0	Los Angeles Rams	NFL	13	4.0	9.0	0.0	0.308	0.512	jeff fisher	1.0	True	2015			0.0	W	-0.002295480349344971	0.4503469577193719	458
2015	69.0	New York Giants	NFL	16	6.0	10.0	0.0	0.375	0.531	tom coughlin	12.0	False	2014	6.0	0.375	0.0	W	0.07866558630231754	0.4186006073039721	413
2015	60.0	Chicago Bears	NFL	16	6.0	10.0	0.0	0.375	0.52	john fox	1.0	True	2014	5.0	0.3125	0.0625	W	0.07125057971014492	0.4588764679580604	115
2016	61.0	Chicago Bears	NFL	16	3.0	13.0	0.0	0.188	0.52	john fox	2.0	False	2015	6.0	0.375	-0.187	W	-0.006610000000000002	0.47756528169222867	55
2017	62.0	Chicago Bears	NFL	16	5.0	11.0	0.0	0.313	0.52	john fox	3.0	False	2016	3.0	0.1875	0.1255	W	0.028114266666666665	0.4694089655069611	125
2015	57.0	Cincinnati Bengals	NFL	16	12.0	4.0	0.0	0.75	0.53	marvin lewis	13.0	False	2014	10.0	0.625	0.125	B	0.14146970338983056	0.4277715078970326	118
2016	58.0	Cincinnati Bengals	NFL	16	6.0	9.0	1.0	0.4	0.53	marvin lewis	14.0	False	2015	12.0	0.75	-0.35	B	0.04906609890109892	0.43467060903049	130
2017	59.0	Cincinnati Bengals	NFL	16	7.0	9.0	0.0	0.438	0.53	marvin lewis	15.0	False	2016	6.0	0.375	0.063	B	-0.009572858391608385	0.4468757159370377	286
2015	52.0	Green Bay Packers	NFL	16	10.0	6.0	0.0	0.625	0.628	mike mccarthy	10.0	False	2014	12.0	0.75	-0.125	W	0.034423636363636365	0.5045737956495926	44
2016	53.0	Green Bay Packers	NFL	16	10.0	6.0	0.0	0.625	0.628	mike mccarthy	11.0	False	2015	10.0	0.625	0.0	W	0.09668769230769234	0.46919785797068475	65
2017	54.0	Green Bay Packers	NFL	16	7.0	9.0	0.0	0.438	0.628	mike mccarthy	12.0	False	2016	10.0	0.625	-0.187	W	0.0939811728395062	0.4377614551257074	54
2015	43.0	Pittsburgh Steelers	NFL	16	10.0	6.0	0.0	0.625	0.6579999999999999	mike tomlin	9.0	False	2014	11.0	0.6875	-0.0625	B	0.07615849056603774	0.45602447975863175	53
2016	44.0	Pittsburgh Steelers	NFL	16	11.0	5.0	0.0	0.688	0.6579999999999999	mike tomlin	10.0	False	2015	10.0	0.625	0.06299999999999994	B	0.09356129032258063	0.48215605369666426	62
2017	45.0	Pittsburgh Steelers	NFL	16	13.0	3.0	0.0	0.813	0.6579999999999999	mike tomlin	11.0	False	2016	11.0	0.6875	0.12549999999999994	B	0.16810901639344264	0.47747160967155916	61
2015	64.0	Seattle Seahawks	NFL	16	10.0	6.0	0.0	0.625	0.585	pete carroll	6.0	False	2014	12.0	0.75	-0.125	W	0.0929855537280702	0.4717030189334633	152
2016	65.0	Seattle Seahawks	NFL	16	10.0	5.0	1.0	0.667	0.585	pete carroll	7.0	False	2015	10.0	0.625	0.04200000000000004	W	0.0619274621212121	0.4845880202420995	176
2017	66.0	Seattle Seahawks	NFL	16	9.0	7.0	0.0	0.563	0.585	pete carroll	8.0	False	2016	10.0	0.625	-0.062000000000000055	W	0.052486179138322	0.45991895547380696	147
2015	52.0	New Orleans Saints	NFL	16	7.0	9.0	0.0	0.438	0.607	sean payton	9.0	False	2014	7.0	0.4375	0.0005000000000000004	W	0.03289254488680718	0.45014360633697503	122
2016	53.0	New Orleans Saints	NFL	16	7.0	9.0	0.0	0.438	0.607	sean payton	10.0	False	2015	7.0	0.4375	0.0005000000000000004	W	0.14358818565400847	0.4584710255344858	79
2017	54.0	New Orleans Saints	NFL	16	11.0	5.0	0.0	0.688	0.607	sean payton	11.0	False	2016	7.0	0.4375	0.25049999999999994	W	-0.11268925233644854	0.44569367848967345	214
2015	53.0	Baltimore Ravens	NFL	16	5.0	11.0	0.0	0.313	0.583	john harbaugh	8.0	False	2014	10.0	0.625	-0.312	W	0.05620437500000001	0.49107673012288927	40
2016	54.0	Baltimore Ravens	NFL	16	8.0	8.0	0.0	0.5	0.583	john harbaugh	9.0	False	2015	5.0	0.3125	0.1875	W	0.16778198198198202	0.4211287534852162	37
2017	55.0	Baltimore Ravens	NFL	16	9.0	7.0	0.0	0.563	0.583	john harbaugh	10.0	False	2016	8.0	0.5	0.06299999999999994	W	0.16265625	0.4215726667240232	24
2015	52.0	Oakland Raiders	NFL	16	7.0	9.0	0.0	0.438	0.4970000000000001	jack del rio	1.0	True	2014	3.0	0.1875	0.2505	W	0.065034	0.43380622254454515	50
2016	53.0	Oakland Raiders	NFL	16	12.0	4.0	0.0	0.75	0.4970000000000001	jack del rio	2.0	False	2015	7.0	0.4375	0.3125	W	0.05170353535353534	0.476943358649455	99
2017	54.0	Oakland Raiders	NFL	16	6.0	10.0	0.0	0.375	0.4970000000000001	jack del rio	3.0	False	2016	12.0	0.75	-0.375	W	0.01982104166666667	0.49801240738518787	80
2015	57.0	Tampa Bay Buccaneers	NFL	16	6.0	10.0	0.0	0.375	0.506	lovie smith	2.0	False	2014	2.0	0.125	0.25	B	0.0338264757696008	0.4414795755348445	264
2015	54.0	Denver Broncos	NFL	16	12.0	4.0	0.0	0.75	0.522	gary kubiak	1.0	True	2014	12.0	0.75	0.0	W	0.07848736852170583	0.436178858980683	249
2016	55.0	Denver Broncos	NFL	16	9.0	7.0	0.0	0.563	0.522	gary kubiak	2.0	False	2015	12.0	0.75	-0.18700000000000006	W	0.08503895571095577	0.4291105561765062	195
2015	49.0	Dallas Cowboys	NFL	16	4.0	12.0	0.0	0.25	0.551	jason garrett	6.0	False	2014	12.0	0.75	-0.5	W	0.1425524242424242	0.4432705388720012	55
2016	50.0	Dallas Cowboys	NFL	16	13.0	3.0	0.0	0.813	0.551	jason garrett	7.0	False	2015	4.0	0.25	0.563	W	0.11431041666666669	0.4779882011285779	72
