fuzzy_name	year	compound_mean_mean	compound_mean_std	user_count	Player_FO	Tm	position	DYAR	DVOA	TD	z_DYAR	z_DVOA	z_TD	player_join	Player	level_1	start_year	end_year	url	height	weight	birth_date	race	salary	standard_salary	Wins	total_population	metro_percent_white	metro_percent_black	clinton_vote_lead	experience	youth	oldness	rookie	white_black_diff	height_dummies
aaron dobson	2013	0.08069330882352943	0.4165161195115036	136	A.Dobson	BOS	wr	46	-5.4	4	-0.5084574588794051	-0.3933124263854907	-0.17314983726199182	a dobson	aaron dobson	0.0	2013.0	2015.0	/players/D/DobsAa00.htm	75.0	210.0	July 23, 1991	B		14.863362723999122	12.0	4728844.0	77.3	8.0	0.3815	0.0	4.588028169014085	0.0	True	69.3	tall
aaron rodgers	2013	0.0917108248416547	0.3960316467205109	1364	A.Rodgers	GB	qb	740	25.4	18	0.6628571177497441	1.4317618611737712	0.0349371823897823	a rodgers	aaron rodgers	8.0	2005.0	2018.0	/players/R/RodgAa00.htm	74.0	225.0	December 2, 1983	W		14.863362723999122	8.0	314555.0	88.0	1.9	-0.108504513832	8.0	0.0	3.411971830985915	False	86.1	tall
aaron rodgers	2014	0.12573210179729966	0.3887741073657614	1932	A.Rodgers	GB	qb	1564	32.2	38	2.1492840098775536	1.8686075876323256	1.8363958740737287	a rodgers	aaron rodgers	9.0	2005.0	2018.0	/players/R/RodgAa00.htm	74.0	225.0	December 2, 1983	W	17550000.0	16.680564507876152	12.0	314555.0	88.0	1.9	-0.108504513832	9.0	0.0	4.411971830985915	False	86.1	tall
aaron rodgers	2015	0.09437852532161843	0.4012109128622579	2143	A.Rodgers	GB	qb	406	-1.0	31	0.017477515607496632	-0.00841841101370463	0.9638761001892712	a rodgers	aaron rodgers	10.0	2005.0	2018.0	/players/R/RodgAa00.htm	74.0	225.0	December 2, 1983	W	18250000.0	16.719675637992776	10.0	314555.0	88.0	1.9	-0.108504513832	10.0	0.0	5.411971830985915	False	86.1	tall
aaron rodgers	2016	0.07840728787003542	0.3964497832985755	2674	A.Rodgers	GB	qb	1279	18.7	40	1.3078669823303173	0.8687752558406113	2.054005697534761	a rodgers	aaron rodgers	11.0	2005.0	2018.0	/players/R/RodgAa00.htm	74.0	225.0	December 2, 1983	W	19250000.0	16.773021618698067	10.0	314555.0	88.0	1.9	-0.108504513832	11.0	0.0	6.411971830985915	False	86.1	tall
aaron rodgers	2017	0.08873876369985423	0.4027638776286004	2541	A.Rodgers	GB	qb	334	7.8	16	-0.14180628287415914	0.3754357430687205	-0.3865883462425496	a rodgers	aaron rodgers	12.0	2005.0	2018.0	/players/R/RodgAa00.htm	74.0	225.0	December 2, 1983	W		14.863362723999122	7.0	314555.0	88.0	1.9	-0.108504513832	12.0	0.0	7.411971830985915	False	86.1	tall
ace sanders	2013	0.10753000000000001	0.4950703066497886	20	A.Sanders	JAC	wr	-99	-28.0	1	-1.6143524319421108	-1.8112448533051801	-1.108158958476748	a sanders	ace sanders	0.0	2013.0	2014.0	/players/S/SandAc00.htm	67.0	173.0	November 11, 1991	B		14.863362723999122	4.0	1424097.0	70.4	21.4	-0.015006974021	0.0	4.588028169014085	0.0	True	49.00000000000001	short
adam thielen	2016	0.17640577464788731	0.37549282899878444	71	A.Thielen	MIN	wr	270	26.2	5	1.288961906078048	1.6595097883357182	0.19232041864562635	a thielen	adam thielen	2.0	2014.0	2018.0	/players/T/ThieAd00.htm	74.0	200.0	August 22, 1990	W	600000.0	13.304684934198285	8.0	3488436.0	80.3	7.8	0.3531	2.0	2.588028169014085	0.0	False	72.5	tall
adam thielen	2017	0.17795511168384878	0.39160334554745185	194	A.Thielen	MIN	wr	261	10.1	4	1.2738351727116752	0.5661464624297854	-0.08097120068762009	a thielen	adam thielen	3.0	2014.0	2018.0	/players/T/ThieAd00.htm	74.0	200.0	August 22, 1990	W	3746000.0	15.136199161986172	13.0	3488436.0	80.3	7.8	0.3531	3.0	1.588028169014085	0.0	False	72.5	tall
adrian peterson	2013	0.15316378145144524	0.42930403433646624	229	A.Peterson	MIN	rb	60	-3.1	10	-0.015659633712433108	-0.1233445036786916	1.3900511479324111	a peterson	adrian peterson	6.0	2007.0	2018.0	/players/P/PeteAd01.htm	73.0	220.0	March 21, 1985	B		14.863362723999122	5.0	3488436.0	80.3	7.8	0.3531	6.0	0.0	1.411971830985915	False	72.5	tall
